transaction_id,serial_number,assessed_value,sales_amount,sales_ratio,address_id,property_type_id,date_recorded_id,property type,address,town_id,longitude,latitude,town,month,day,quarter,year,full_date,rate_x,lower_bound,upper_bound,census_units,total_assisted_units,rate_y
439821,61020,85050.0,175000.0,0.486,374608,1,3417,Single Family,105 MARLBORO ST,41,-72.9286316,41.3365934,Hamden,8.0,30.0,3.0,2007,2007-08-30,,,,,,
835058,151080,103700.0,60000.0,1.728333333,661002,1,5739,Single Family,27 DELAWARE AVE,97,-73.0639348,41.5624731,Waterbury,6.0,27.0,2.0,2016,2016-06-27,,,,,,
883420,160348,191300.0,267400.0,0.715407629,557304,1,5827,Single Family,12 SOMERSET ST,107,-72.6673559,41.7075511,Wethersfield,6.0,26.0,2.0,2017,2017-06-26,,,,,,
778582,140367,26640.0,27500.0,0.968727273,161421,5,1713,Condo,SURREY LN D24,94,,,Torrington,6.0,22.0,2.0,2015,2015-06-22,,,,,,
358636,40347,226800.0,75000.0,3.024,314819,11,2881,,38 CLOVER HL RD,103,,,Trumbull,4.0,7.0,2.0,2005,2005-04-07,,,,,,
996030,190387,83100.0,106000.0,0.784,589106,1,6512,Single Family,486 NORTH MAIN STREET,54,,,Manchester,3.0,13.0,1.0,2020,2020-03-13,,,,,,
151813,10833,7840.0,18000.0,0.435555556,143344,11,741,,928 WETHERSFIELD AVE UT1,45,,,Hartford,4.0,29.0,2.0,2002,2002-04-29,,,,,,
846895,16130,179690.0,290000.0,0.61962069,668934,1,5943,Single Family,12 GARDEN PL,22,-73.0880552,41.3282888,Derby,5.0,16.0,2.0,2017,2017-05-16,,,,,,
669410,110305,150320.0,155000.0,0.969806452,543789,1,1545,Single Family,39 MOUNTAIN VIEW AVENUE,2,,,Avon,9.0,5.0,3.0,2012,2012-09-05,,,,,,
94351,211240,77665.0,155000.0,0.501,90843,5,252,Condo,146 SPRINGSIDE AV #C-6,59,-72.957124008,41.331963018,New Haven,8.0,23.0,3.0,2022,2022-08-23,,,,,,
948446,18416,329890.0,505000.0,0.6532,674702,1,6335,Single Family,7 CHARTER RIDGE DRIVE,63,,,Newtown,7.0,31.0,3.0,2019,2019-07-31,,,,,,
92972,210394,102130.0,299000.0,0.3415,33484,4,215,Two Family,163 WILLETTS AVE,71,-72.1065,41.34203,New London,6.0,28.0,2.0,2022,2022-06-28,,,,,,
791143,140216,173530.0,265000.0,0.654830189,631411,1,5393,Single Family,88 ALDEN RD,109,-72.6317204,41.8805318,Windsor,4.0,13.0,2.0,2015,2015-04-13,,,,,,
227892,20336,173530.0,320000.0,0.54228125,209417,11,2472,,78 LONGMEADOW RD LT 12,90,,,Shelton,2.0,18.0,1.0,2003,2003-02-18,,,,,,
322344,31212,137410.0,460000.0,0.298717391,287024,11,962,,126 CULLODEN RD,86,-73.5228878,41.0608448,Stamford,3.0,23.0,1.0,2004,2004-03-23,,,,,,
